Date : 2022-04-23 11:52:28
Directory : /Users/danielspaude/code/boxtribute/boxtribute/react
Total : 146 files,  -5657 codes, -1498 comments, -1446 blanks, all -8601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/generated/graphql.tsx                                        | TypeScript React   |        558 |        193 |        126 |        877 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/index.tsx                                                    | TypeScript React   |         39 |          3 |          6 |         48 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/logo.svg                                                     | XML                |          7 |          0 |          1 |          8 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/react-app-env.d.ts                                           | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/serviceWorker.js                                             | JavaScript         |         90 |         33 |         13 |        136 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/setupTests.js                                                | JavaScript         |          2 |          4 |          1 |          7 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/types/react-table-config.d.ts                                | TypeScript         |        107 |          6 |         10 |        123 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/utils/test-utils.tsx                                         | TypeScript React   |         34 |          0 |          3 |         37 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/Boxes/Boxes.test.tsx                                   | TypeScript React   |        226 |          0 |         17 |        243 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/Boxes/Boxes.tsx                                        | TypeScript React   |        172 |          0 |         14 |        186 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/Boxes/GlobalFilter.tsx                                 | TypeScript React   |         23 |          0 |          3 |         26 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/Boxes/SelectColumnFilter.tsx                           | TypeScript React   |         32 |          0 |          3 |         35 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/automatic-base-switcher/AutomaticBaseSwitcher.tsx      | TypeScript React   |         26 |          0 |          8 |         34 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/locations/BTLocation.tsx                               | TypeScript React   |         57 |          0 |          6 |         63 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/locations/Locations.test.tsx                           | TypeScript React   |         70 |          0 |          3 |         73 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/views/locations/Locations.tsx                                | TypeScript React   |         49 |          0 |         10 |         59 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/tsconfig.json                                                    | JSON with Comments |         29 |          0 |          1 |         30 |
| Total                                                                                                                 |                    |     -5,657 |     -1,498 |     -1,446 |     -8,601 |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
